age,alloc_method,coef_borjas,se_borjas,mean_resid_borjas,sum_weight_borjas,coef_tenure,se_tenure,mean_resid_tenure,sum_weight_tenure
34,"3. EIG wage ranking, RPP and NPV adjusted",0.09880452065571786,0.004141479550406464,0.07075425623341342,5740,0.13480452065571777,0.004141479550406464,0.10675425623341343,5740
35,"3. EIG wage ranking, RPP and NPV adjusted",0.09880396360523552,0.0041414736738784675,0.09263471580148229,3063,0.13480396360523558,0.0041414736738784675,0.12863471580148222,3063
36,"3. EIG wage ranking, RPP and NPV adjusted",0.09880249072362035,0.004141470409155317,0.08676478316553503,2013,0.13480249072362038,0.004141470409155317,0.12276478316553503,2013
37,"3. EIG wage ranking, RPP and NPV adjusted",0.09880642850683205,0.004141491983592485,0.09476392542588413,1447,0.13480642850683214,0.004141491983592485,0.13076392542588408,1447
38,"3. EIG wage ranking, RPP and NPV adjusted",0.09880393852211301,0.004141498254784728,0.1755072059978996,1187,0.1348039385221131,0.004141498254784728,0.21150720599789963,1187
39,"3. EIG wage ranking, RPP and NPV adjusted",0.09880649444273036,0.004141447543566366,0.1767873745975619,729,0.13480649444273032,0.004141447543566366,0.21278737459756197,729
40,"3. EIG wage ranking, RPP and NPV adjusted",0.09880651991001366,0.004141495688872023,0.22573582845658027,520,0.1348065199100137,0.004141495688872023,0.26173582845658017,520
41,"3. EIG wage ranking, RPP and NPV adjusted",0.09879802555120532,0.004141511568729328,0.20008355693020025,473,0.13479802555120535,0.004141511568729328,0.23608355693020028,473
42,"3. EIG wage ranking, RPP and NPV adjusted",0.09880219128239871,0.004141516091134289,0.2558808087515136,337,0.13480219128239862,0.004141516091134289,0.2918808087515138,337
43,"3. EIG wage ranking, RPP and NPV adjusted",0.09881023961553154,0.004141469314490823,0.36189675498223756,271,0.13481023961553154,0.004141469314490823,0.3978967549822375,271
44,"3. EIG wage ranking, RPP and NPV adjusted",0.0988097702197933,0.004141480806113138,0.36790858174113594,217,0.13480977021979323,0.004141480806113138,0.40390858174113575,217
45,"3. EIG wage ranking, RPP and NPV adjusted",0.0988084324369887,0.004141557700094032,0.32798340007617033,104,0.1348084324369888,0.004141557700094032,0.3639834000761704,104
46,"3. EIG wage ranking, RPP and NPV adjusted",0.09881584085019911,0.0041414992321415055,0.4450884628749456,68,0.13481584085019913,0.0041414992321415055,0.48108846287494583,68
47,"3. EIG wage ranking, RPP and NPV adjusted",0.09880281467176052,0.004141511083984202,0.5776235661743064,68,0.13480281467176053,0.004141511083984202,0.6136235661743065,68
48,"3. EIG wage ranking, RPP and NPV adjusted",0.09880513438114646,0.004141476885749759,0.3776345809855878,31,0.13480513438114644,0.004141476885749759,0.41363458098558775,31
49,"3. EIG wage ranking, RPP and NPV adjusted",0.09881686009710207,0.004141453707685792,0.7624543293504231,53,0.1348168600971021,0.004141453707685792,0.7984543293504235,53
50,"3. EIG wage ranking, RPP and NPV adjusted",0.0988051074093001,0.004141568942134054,0.6056209929845594,43,0.1348051074093001,0.004141568942134054,0.6416209929845599,43
