alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,eligible applicants,0.1,160000,0.16893351861216072
1. old unweighted lottery,eligible applicants,0.1,165000,0.15965554860981152
1. old unweighted lottery,eligible applicants,0.1,170000,0.15082388026422144
1. old unweighted lottery,eligible applicants,0.1,175000,0.14235585479767318
1. old unweighted lottery,eligible applicants,0.1,180000,0.13429809717582514
1. old unweighted lottery,eligible applicants,0.1,185000,0.12656766990639173
1. old unweighted lottery,eligible applicants,0.1,190000,0.11918937858596154
1. old unweighted lottery,eligible applicants,0.1,195000,0.11216545293108186
1. old unweighted lottery,eligible applicants,0.1,200000,0.10549537532898276
1. old unweighted lottery,eligible applicants,0.1,205000,0.09913980720915143
1. old unweighted lottery,eligible applicants,0.1,210000,0.09311292319820985
1. old unweighted lottery,eligible applicants,0.1,215000,0.08735428205117998
1. old unweighted lottery,eligible applicants,0.1,220000,0.08189713043443642
1. old unweighted lottery,eligible applicants,0.1,225000,0.07672386951380232
1. old unweighted lottery,eligible applicants,0.1,230000,0.07178198150131594
1. old unweighted lottery,eligible applicants,0.1,235000,0.06710443434878345
1. old unweighted lottery,eligible applicants,0.1,240000,0.0626988329822857
1. old unweighted lottery,eligible applicants,0.1,245000,0.05852575919857616
1. old unweighted lottery,eligible applicants,0.1,250000,0.054569764247291486
1. old unweighted lottery,eligible applicants,0.1,255000,0.05085203043563089
1. old unweighted lottery,eligible applicants,0.1,260000,0.04734185934470223
1. old unweighted lottery,eligible applicants,0.1,265000,0.04403303962126673
1. old unweighted lottery,eligible applicants,0.1,270000,0.040911635536903794
1. old unweighted lottery,eligible applicants,0.1,275000,0.03798584926319812
1. old unweighted lottery,eligible applicants,0.1,280000,0.03524692119942821
1. old unweighted lottery,eligible applicants,0.1,285000,0.03265511461141217
1. old unweighted lottery,eligible applicants,0.1,290000,0.030233284093759596
1. old unweighted lottery,eligible applicants,0.1,295000,0.027952443331355777
1. old unweighted lottery,eligible applicants,0.1,300000,0.025823342743268047
1. old unweighted lottery,lottery winners,-0.1,0,1
1. old unweighted lottery,lottery winners,-0.1,5000,0.9631466352941176
1. old unweighted lottery,lottery winners,-0.1,10000,0.9283619945098041
1. old unweighted lottery,lottery winners,-0.1,15000,0.8951277780392156
1. old unweighted lottery,lottery winners,-0.1,20000,0.8631462372549017
1. old unweighted lottery,lottery winners,-0.1,25000,0.8322464141176472
1. old unweighted lottery,lottery winners,-0.1,30000,0.8023817529411765
1. old unweighted lottery,lottery winners,-0.1,35000,0.7734118345098037
1. old unweighted lottery,lottery winners,-0.1,40000,0.7455236843137253
1. old unweighted lottery,lottery winners,-0.1,45000,0.7186441639215687
1. old unweighted lottery,lottery winners,-0.1,50000,0.6928784462745097
1. old unweighted lottery,lottery winners,-0.1,55000,0.6682724066666664
1. old unweighted lottery,lottery winners,-0.1,60000,0.644817739607843
1. old unweighted lottery,lottery winners,-0.1,65000,0.6225325533333332
1. old unweighted lottery,lottery winners,-0.1,70000,0.6013612325490196
1. old unweighted lottery,lottery winners,-0.1,75000,0.5811778243137254
1. old unweighted lottery,lottery winners,-0.1,80000,0.561826568235294
1. old unweighted lottery,lottery winners,-0.1,85000,0.5432044227450981
1. old unweighted lottery,lottery winners,-0.1,90000,0.5252533325490197
1. old unweighted lottery,lottery winners,-0.1,95000,0.5078402596078433
1. old unweighted lottery,lottery winners,-0.1,100000,0.49091517176470567
1. old unweighted lottery,lottery winners,-0.1,105000,0.47444807607843126
1. old unweighted lottery,lottery winners,-0.1,110000,0.45848356117647066
1. old unweighted lottery,lottery winners,-0.1,115000,0.4428987764705882
1. old unweighted lottery,lottery winners,-0.1,120000,0.42770802823529414
1. old unweighted lottery,lottery winners,-0.1,125000,0.41294534117647047
1. old unweighted lottery,lottery winners,-0.1,130000,0.39859180196078425
1. old unweighted lottery,lottery winners,-0.1,135000,0.38459678156862737
1. old unweighted lottery,lottery winners,-0.1,140000,0.3709885560784315
1. old unweighted lottery,lottery winners,-0.1,145000,0.35771931843137245
1. old unweighted lottery,lottery winners,-0.1,150000,0.34480563098039224
1. old unweighted lottery,lottery winners,-0.1,155000,0.33225118980392165
1. old unweighted lottery,lottery winners,-0.1,160000,0.3200310054901961
1. old unweighted lottery,lottery winners,-0.1,165000,0.3080746737254901
1. old unweighted lottery,lottery winners,-0.1,170000,0.29645764705882344
1. old unweighted lottery,lottery winners,-0.1,175000,0.2851527003921568
1. old unweighted lottery,lottery winners,-0.1,180000,0.27411138
1. old unweighted lottery,lottery winners,-0.1,185000,0.2633689709803921
1. old unweighted lottery,lottery winners,-0.1,190000,0.25287483294117646
1. old unweighted lottery,lottery winners,-0.1,195000,0.2426842568627451
1. old unweighted lottery,lottery winners,-0.1,200000,0.23275423058823536
1. old unweighted lottery,lottery winners,-0.1,205000,0.2230511901960784
1. old unweighted lottery,lottery winners,-0.1,210000,0.21366757333333328
1. old unweighted lottery,lottery winners,-0.1,215000,0.20448861176470579
1. old unweighted lottery,lottery winners,-0.1,220000,0.1956133933333333
1. old unweighted lottery,lottery winners,-0.1,225000,0.18695869058823533
1. old unweighted lottery,lottery winners,-0.1,230000,0.17858007882352936
1. old unweighted lottery,lottery winners,-0.1,235000,0.17045370352941178
1. old unweighted lottery,lottery winners,-0.1,240000,0.16254453764705887
1. old unweighted lottery,lottery winners,-0.1,245000,0.15490710588235293
1. old unweighted lottery,lottery winners,-0.1,250000,0.14749199372549024
1. old unweighted lottery,lottery winners,-0.1,255000,0.1403177564705882
1. old unweighted lottery,lottery winners,-0.1,260000,0.1333903890196078
1. old unweighted lottery,lottery winners,-0.1,265000,0.12666802509803923
1. old unweighted lottery,lottery winners,-0.1,270000,0.12021161411764704
1. old unweighted lottery,lottery winners,-0.1,275000,0.11397773529411764
1. old unweighted lottery,lottery winners,-0.1,280000,0.10796524117647065
1. old unweighted lottery,lottery winners,-0.1,285000,0.10217684705882352
1. old unweighted lottery,lottery winners,-0.1,290000,0.09660841882352945
1. old unweighted lottery,lottery winners,-0.1,295000,0.09127697019607844
1. old unweighted lottery,lottery winners,-0.1,300000,0.08613316705882351
1. old unweighted lottery,lottery winners,0,0,1
1. old unweighted lottery,lottery winners,0,5000,0.948782163921568
1. old unweighted lottery,lottery winners,0,10000,0.9020039964705883
