cut_variable,scenario_int,scenario_chr,mu_pi_num,quartile_int,cohort_share_pct,savings_lower_num,median_savings_num,savings_upper_num,wage_lower_num,median_wage_num,wage_upper_num,f1_share_pre_pct,f1_share_post_pct,mean_age_pre_num,mean_age_post_num,age_shift_num,hiring_rate_pct,volume_reduction_pct,fy2027_applications_num,fy2027_lost_num,cohort_mean_age_pre_num,cohort_mean_age_post_num,cohort_f1_share_pre_pct,cohort_f1_share_post_pct
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",-0.1,4,4.462049194524145,0.2639468312070537,0.333110017941418,1.1602956557116868,40470.62209456671,107977.052595116,216983.80196481812,83.67669704915303,83.64738948274943,33.30878486340548,33.36585803387809,0.057073170472612844,93.97549857859178,6.0245014214082175,8788.44754038316,529.460146990099,30.18509864621598,30.894971904306114,82.73910640484814,82.57524878593941
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0,1,53.2742372474902,-2.3122049616740523,-0.260273362973262,-0.08660927193350473,42600.65483638601,144655.867976545,989121.7067940723,80.63967866475275,76.28770523126192,29.702815821050386,30.366671139970123,0.6638553189197367,13.700436604051944,86.29956339594806,104928.88332071048,90553.1681820169,30.18509864621598,31.038842142334822,82.73910640484814,82.43538135559567
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0,2,28.133386462482786,-0.08660499931366103,-0.00564419259545487,0.08993908245290386,42407.61064800436,133290.049778388,295511.2731520856,85.13504593180373,83.80812937184369,30.1066479426547,30.406975443061047,0.3003275004063468,41.70407795434143,58.29592204565857,55411.489268715595,32302.63858842891,30.18509864621598,31.038842142334822,82.73910640484814,82.43538135559567
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0,3,14.130327095502876,0.08994226004090458,0.156410238474878,0.2636466342587372,39558.527356957726,127110.768884438,282585.4575735125,85.58801025583006,85.02719149015137,31.17320684400087,31.362629997583443,0.1894231535825739,66.60905676420221,33.39094323579779,27831.077828474128,9293.0593996165,30.18509864621598,31.038842142334822,82.73910640484814,82.43538135559567
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0,4,4.462049194524145,0.2639468312070537,0.333110017941418,1.1602956557116868,40470.62209456671,107977.052595116,216983.80196481812,83.67669704915303,83.55401666768759,33.30878486340548,33.41800212382686,0.10921726042138147,87.34055528110586,12.659444718894136,8788.44754038316,1112.5686580238175,30.18509864621598,31.038842142334822,82.73910640484814,82.43538135559567
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0.1,1,53.2742372474902,-2.3122049616740523,-0.260273362973262,-0.08660927193350473,42600.65483638601,144655.867976545,989121.7067940723,80.63967866475275,75.35998301705706,29.702815821050386,30.474927443680002,0.7721116226296161,9.501504932805837,90.49849506719417,104928.88332071048,94959.0602960551,30.18509864621598,31.175879383681075,82.73910640484814,82.27509333514269
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0.1,2,28.133386462482786,-0.08660499931366103,-0.00564419259545487,0.08993908245290386,42407.61064800436,133290.049778388,295511.2731520856,85.13504593180373,83.41421900872129,30.1066479426547,30.468913500376438,0.36226555772173796,31.35128760587504,68.64871239412496,55411.489268715595,38039.27390138198,30.18509864621598,31.175879383681075,82.73910640484814,82.27509333514269
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0.1,3,14.130327095502876,0.08994226004090458,0.156410238474878,0.2636466342587372,39558.527356957726,127110.768884438,282585.4575735125,85.58801025583006,84.969585699575,31.17320684400087,31.417387304215072,0.2441804602142028,54.00864557101623,45.99135442898377,27831.077828474128,12799.889645499854,30.18509864621598,31.175879383681075,82.73910640484814,82.27509333514269
payroll savings,3,"Borjas headline, weighted lottery + new wage levels",0.1,4,4.462049194524145,0.2639468312070537,0.333110017941418,1.1602956557116868,40470.62209456671,107977.052595116,216983.80196481812,83.67669704915303,83.54887513190559,33.30878486340548,33.47731792879235,0.16853306538687463,77.32219912019266,22.677800879807336,8788.44754038316,1993.0266336344184,30.18509864621598,31.175879383681075,82.73910640484814,82.27509333514269
payroll savings,4,"Tenure-adjusted, current lottery",-0.1,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,79.10496854682093,29.337511115778952,30.07130017221295,0.7337890564339986,11.816637399683882,88.18336260031612,49241.835731318264,43423.106554000406,30.00160380567874,30.712892339626546,85.32812480613377,84.47633991406758
payroll savings,4,"Tenure-adjusted, current lottery",-0.1,2,24.999639318652736,-0.08660850010389473,0.00717233183319047,0.08993908245290386,38766.59590111127,113658.181981571,321634.9440147144,86.54044753410147,84.83970153465587,29.302298900656247,29.72896230910171,0.4266634084454637,32.828487485475144,67.17151251452486,49239.26409195732,33074.75844158905,30.00160380567874,30.712892339626546,85.32812480613377,84.47633991406758
payroll savings,4,"Tenure-adjusted, current lottery",-0.1,3,24.99932913269409,0.08994226004090458,0.172232187324,0.2636980127267044,37207.959868935934,100150.944471231,282585.4575735125,86.98335338775439,86.18213797225177,29.8156548561997,30.072871895381823,0.25721703918212313,54.19255620287572,45.80744379712428,49238.65315000968,22554.968368151647,30.00160380567874,30.712892339626546,85.32812480613377,84.47633991406758
payroll savings,4,"Tenure-adjusted, current lottery",-0.1,4,25.000086563523343,0.26369946591017307,0.382514281396867,1.4196704837040985,34910.71545044166,86369.2918264212,268001.860087746,84.42147633577875,83.9289264078844,31.550955008764525,31.710631607701597,0.15967659893707165,74.7351632798805,25.264836720119504,49240.14498499808,12440.442231209876,30.00160380567874,30.712892339626546,85.32812480613377,84.47633991406758
payroll savings,4,"Tenure-adjusted, current lottery",0,1,25.00094498512983,-2.3122049616740523,-0.220993594476635,-0.08660927193350473,40969.73866083081,134271.982501699,989121.7067940723,83.36736112994598,78.28178795838637,29.337511115778952,30.20608868756983,0.8685775717908797,8.022058148868629,91.97794185113138,49241.835731318264,45291.62703538154,30.00160380567874,30.86259901177477,85.32812480613377,84.1822578505874
