scenario,mu_pi_num,fee_num,hiring_rate_num
baseline,0,390000,0.026515229053434033
baseline,0,395000,0.02456342203712856
baseline,0,400000,0.022751994070727748
baseline,0.1,0,1
baseline,0.1,5000,0.9598737382649811
baseline,0.1,10000,0.9217583703912849
baseline,0.1,15000,0.8854976353497567
baseline,0.1,20000,0.8509994764829062
baseline,0.1,25000,0.8179979294604831
baseline,0.1,30000,0.7864540246111856
baseline,0.1,35000,0.7562622055951622
baseline,0.1,40000,0.7272986812075011
baseline,0.1,45000,0.6994772475941743
baseline,0.1,50000,0.6727824933530975
baseline,0.1,55000,0.6471267734876827
baseline,0.1,60000,0.6223514152608175
baseline,0.1,65000,0.5984783005105758
baseline,0.1,70000,0.575469871297146
baseline,0.1,75000,0.5532604232841581
baseline,0.1,80000,0.5318101338792032
baseline,0.1,85000,0.5110047998870615
baseline,0.1,90000,0.4908643620150116
baseline,0.1,95000,0.47140279052257605
baseline,0.1,100000,0.45251726429966366
baseline,0.1,105000,0.43426125267640764
baseline,0.1,110000,0.41655363991435485
baseline,0.1,115000,0.3994007493941318
baseline,0.1,120000,0.3827660819745418
baseline,0.1,125000,0.36661496200089405
baseline,0.1,130000,0.35097268299569406
baseline,0.1,135000,0.33582618644267176
baseline,0.1,140000,0.32115811980894565
baseline,0.1,145000,0.30691674901767013
baseline,0.1,150000,0.2931531905131644
baseline,0.1,155000,0.279816357262182
baseline,0.1,160000,0.26691395496576553
baseline,0.1,165000,0.25441651372908863
baseline,0.1,170000,0.2423460036234442
baseline,0.1,175000,0.2306971894778947
baseline,0.1,180000,0.21942013129102844
baseline,0.1,185000,0.20852327004070503
baseline,0.1,190000,0.19799216489023788
baseline,0.1,195000,0.18787169713653795
baseline,0.1,200000,0.17812139714359657
baseline,0.1,205000,0.1687474706477494
baseline,0.1,210000,0.15970668337215596
baseline,0.1,215000,0.15103006399849414
baseline,0.1,220000,0.14270084821533613
baseline,0.1,225000,0.13469653655208114
baseline,0.1,230000,0.1270270993623679
baseline,0.1,235000,0.11967500764687893
baseline,0.1,240000,0.11266887837933223
baseline,0.1,245000,0.10593547798875322
baseline,0.1,250000,0.09954104021081854
baseline,0.1,255000,0.09345791863720851
baseline,0.1,260000,0.08764205548104746
baseline,0.1,265000,0.08211536199148259
baseline,0.1,270000,0.07686236794428371
baseline,0.1,275000,0.07188148514152608
baseline,0.1,280000,0.06715718453683442
baseline,0.1,285000,0.06270023058280984
baseline,0.1,290000,0.05846885955624572
baseline,0.1,295000,0.054490041410790335
baseline,0.1,300000,0.05074765887861461
baseline,0.1,305000,0.047208183336862684
baseline,0.1,310000,0.04386890896684784
baseline,0.1,315000,0.04073377685230934
baseline,0.1,320000,0.03778540504929295
baseline,0.1,325000,0.035003646973012385
baseline,0.1,330000,0.03242153125808806
baseline,0.1,335000,0.030007029246370675
baseline,0.1,340000,0.027753199924707636
baseline,0.1,345000,0.02565233759205666
baseline,0.1,350000,0.023685413284393313
baseline,0.1,355000,0.02186766193736618
baseline,0.1,360000,0.020169172490059048
baseline,0.1,365000,0.01859126844074258
baseline,0.1,370000,0.017123685325051166
baseline,0.1,375000,0.015778481682783934
baseline,0.1,380000,0.014521128914613768
baseline,0.1,385000,0.013364479659302136
baseline,0.1,390000,0.012293034281546312
