"zcta","state","puma22","stab","ZIPName","PUMA22name","pop20","afact"
" ","40","21000","OK","[not in a ZCTA]","East Central Oklahoma Counties--McAlester, Seminole, Holdenville & Eufaula Cities",5,0.0006 
" ","40","21700","OK","[not in a ZCTA]","Southwest Oklahoma Counties--Lawton, Elgin, Cache & Walters Cities",6,0.0007 
" ","40","22100","OK","[not in a ZCTA]","Southeast Oklahoma Counties--Poteau, Idabel, Broken Bow, Wilburton & Hugo Cities",48,0.0056 
" ","41","01702","OR","[not in a ZCTA]","Crook & Jefferson & Deschutes (Outside Bend) Counties--Redmond & Prineville Cities",72,0.0084 
" ","41","01900","OR","[not in a ZCTA]","Douglas County",12,0.0014 
" ","41","02902","OR","[not in a ZCTA]","Jackson County (Outside Medford & Central Point Cities)--Ashland City",36,0.0042 
" ","41","03905","OR","[not in a ZCTA]","Lane County (Outside Eugene & Springfield Cities)",20,0.0023 
" ","41","04301","OR","[not in a ZCTA]","Linn County (North & East)--Albany & Lebanon Cities",4,0.0005 
" ","41","05901","OR","[not in a ZCTA]","Umatilla (East & South), Union, Baker & Wallowa Counties",35,0.0041 
" ","41","06501","OR","[not in a ZCTA]","Umatilla (Northwest) & Grant Counties, Columbia Gorge & Columbia Basin",9,0.0011 
" ","41","09000","OR","[not in a ZCTA]","Columbia, Clatsop & Tillamook Counties",9,0.0011 
" ","41","09200","OR","[not in a ZCTA]","Klamath, Malheur, Lake & Harney Counties",107,0.0125 
" ","44","00300","RI","[not in a ZCTA]","Southeast Rhode Island (Newport & Bristol Counties)--Newport City",1,0.0001 
" ","48","00100","TX","[not in a ZCTA]","Panhandle Regional Planning Commission--Outside Potter & Randall Counties",122,0.0142 
" ","48","00400","TX","[not in a ZCTA]","South Plains Association of Governments--Outside Lubbock County",40,0.0047 
" ","48","00600","TX","[not in a ZCTA]","North Texas Regional Planning Commission--Outside Wichita County & Wise County",5,0.0006 
" ","48","02600","TX","[not in a ZCTA]","West Central Texas COG (Outside Taylor County)",25,0.0029 
" ","48","02900","TX","[not in a ZCTA]","Concho Valley COG--Tom Green County, San Angelo City",6,0.0007 
" ","48","03100","TX","[not in a ZCTA]","Permian Basin Regional Planning Commission (Central)--Ector County, Odessa City",8,0.0009 
" ","48","03400","TX","[not in a ZCTA]","Central Texas COG (West), Burnet & Llano Counties",4,0.0005 
" ","48","04400","TX","[not in a ZCTA]","Houston-Galveston Area Council--Liberty & Chambers Counties",12,0.0014 
" ","48","04701","TX","[not in a ZCTA]","Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities",1,0.0001 
" ","48","05000","TX","[not in a ZCTA]","Houston-Galveston Area Council (West)",7,0.0008 
" ","48","06302","TX","[not in a ZCTA]","South Texas Development Council-Webb County (North & East)-Laredo City (Outer)",67,0.0078 
" ","48","06500","TX","[not in a ZCTA]","Coastal Bend COG (Northeast)",13,0.0015 
" ","48","06807","TX","[not in a ZCTA]","Hidalgo County (North & West)",1,0.0001 
" ","48","07200","TX","[not in a ZCTA]","Concho Valley COG & Permian Basin Regional Planning Commission (East)",320,0.0373 
" ","48","07300","TX","[not in a ZCTA]","Rio Grande COG & Permian Basin Regional Planning Commission (West)",455,0.0531 
" ","48","07500","TX","[not in a ZCTA]","Middle Rio Grande Development Council--Excluding Dimmit & La Salle Counties",39,0.0046 
" ","48","07600","TX","[not in a ZCTA]","South Texas Development Council (South)--Coastal Bend COG (West), Dimmit & La Salle",96,0.0112 
" ","48","07700","TX","[not in a ZCTA]","Coastal Bend COG (Central) & Willacy County",21,0.0025 
" ","49","03000","UT","[not in a ZCTA]","Tooele & Box Elder Counties",41,0.0048 
" ","49","05000","UT","[not in a ZCTA]","Cache, Summit, Morgan & Rich Counties",26,0.003 
